1/7/21, 1:00 PM
Project Statistics

                 	Segments	  Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	  116607	1173671	                    5706378	                      6758341	    93	
Remaining:       	    4673	  72968	                    4217118	                      5011344	    91
Unique:          	   45309	 620896	                    2970164	                      3541655	    93	
Unique Remaining:	    4574	  95135	                    2359063	                      2815838	    91


Individual File Statistics:

File Name                                                    	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
getting_started64/GS6416-OpenSourceStandardsDoc.odt          	           359	                86	             12	                        6	       2642	            837	          57	                    38	                            14674	                                 4805	                               344	                                         209	                              16867	                                   5485	                                 392	                                           244	
getting_started64/LO6_GS6.4_Covers.odg                       	            47	                 8	              9	                        5	        299	             56	          84	                    39	                             1700	                                  362	                               478	                                         227	                               1946	                                    409	                                 554	                                           262	
libreoffice_tutorial64/LT6400-Preface_PK_20200220.odt        	           321	               167	            165	                      161	       2283	           1501	        1485	                  1431	                            12211	                                 8317	                              8164	                                        7886	                              14095	                                   9578	                                9424	                                          9093	
libreoffice_tutorial64/LT6401-IntroductiontoWriter.odt       	           666	               611	            497	                      497	       9186	           9053	        8757	                  8757	                            41389	                                40742	                             39223	                                       39223	                              49928	                                  49209	                               47452	                                         47452	
libreoffice_tutorial64/LT6402-MoreOnWordProcessing.odt       	          1099	              1022	            755	                      753	      14813	          14649	       14339	                 14334	                            65725	                                64958	                             63279	                                       63247	                              79457	                                  78609	                               76708	                                         76673	
libreoffice_tutorial64/LT6403-IntroductiontoDraw.odt         	           765	               695	            564	                      564	      11345	          11193	       10866	                 10866	                            51502	                                50782	                             48968	                                       48968	                              62057	                                  61261	                               59202	                                         59202	
quick-reference64/Quick-reference-guide-Libreoffice6.x-En.odt	           246	                 0	            211	                        0	        948	              0	         888	                     0	                             4496	                                    0	                              4200	                                           0	                               5181	                                      0	                                4860	                                             0	
writer_guide60/LO6_WG_Covers.odg                             	            51	                35	             32	                       31	        359	            304	         295	                   293	                             1758	                                 1505	                              1464	                                        1453	                               2023	                                   1733	                                1688	                                          1676	
writer_guide60/WG60-WriterGuideLO.odt                        	         11300	              5947	           8333	                     5108	     131912	          84146	      118715	                 80701	                           630399	                               397652	                            564529	                                      382366	                             749824	                                 474716	                              673728	                                        456812	
writer_guide60/WG6000-Preface.odt                            	           296	                45	             72	                       34	       1943	            586	         821	                   490	                            10836	                                 3610	                              4645	                                        2884	                              12425	                                   4095	                                5356	                                          3303	
writer_guide60/WG6001-IntroducingWriter.odt                  	           811	               235	            357	                      178	       7984	           3080	        5166	                  2474	                            38524	                                14882	                             24637	                                       11911	                              45721	                                  17753	                               29472	                                         14232	
writer_guide60/WG6002-WorkingWithText_1.odt                  	           583	               182	            149	                       89	       5777	           2697	        2213	                  1336	                            28800	                                13185	                             10966	                                        6508	                              34024	                                  15727	                               13055	                                          7779	
writer_guide60/WG6003-WorkingWithText_2.odt                  	           548	               195	            153	                      100	       6061	           2942	        2357	                  1471	                            30233	                                14553	                             11714	                                        7310	                              35782	                                  17341	                               13943	                                          8706	
writer_guide60/WG6004-FormattingText.odt                     	           580	               158	            174	                      111	       5322	           2470	        3000	                  1897	                            26808	                                12318	                             15051	                                        9521	                              31550	                                  14621	                               17865	                                         11294	
writer_guide60/WG6005-FormattingPages_1.odt                  	           489	               140	            155	                       92	       5178	           1888	        2394	                  1310	                            24660	                                 9095	                             11217	                                        6200	                              29363	                                  10862	                               13468	                                          7430	
writer_guide60/WG6006-FormattingPages_2.odt                  	           612	               175	            152	                       99	       6440	           2329	        2299	                  1392	                            30969	                                11257	                             10866	                                        6660	                              36800	                                  13423	                               13024	                                          7965	
writer_guide60/WG6007-PrintExportEmail.odt                   	           609	               209	            134	                       89	       6030	           2639	        1925	                  1134	                            30135	                                13296	                              9540	                                        5724	                              35570	                                  15756	                               11339	                                          6782	
writer_guide60/WG6008-IntroToStyles.odt                      	           656	               219	            227	                      137	       7002	           3077	        3494	                  2073	                            33659	                                14534	                             16628	                                        9806	                              40000	                                  17385	                               19903	                                         11744	
writer_guide60/WG6009-WorkingWithStyles.odt                  	           757	               220	            262	                      139	       9883	           3645	        4832	                  2461	                            47241	                                17552	                             23061	                                       11826	                              56364	                                  20976	                               27635	                                         14153	
writer_guide60/WG6010-WorkingWithTemplates.odt               	           355	                80	             78	                       42	       3205	           1149	        1142	                   606	                            16058	                                 5615	                              5517	                                        2923	                              18922	                                   6711	                                6588	                                          3497	
